Page Load Speed (ms),Time
2609,2016-07-01 12:30:21
486,2016-07-01 12:30:26
497,2016-07-01 12:30:54
1198,2016-07-01 12:34:29
331,2016-07-01 12:35:18
455,2016-07-01 12:40:42
578,2016-07-01 12:44:15
586,2016-07-01 12:44:15
366,2016-07-01 12:44:18
625,2016-07-01 12:44:24
270,2016-07-01 12:44:36
391,2016-07-01 12:44:44
388,2016-07-01 12:45:56
521,2016-07-01 12:46:14
937,2016-07-01 12:46:17
534,2016-07-01 12:46:17
1037,2016-07-01 12:46:29
510,2016-07-01 12:46:42
1294,2016-07-01 12:46:43
542,2016-07-01 12:47:28
1514,2016-07-01 12:47:32
521,2016-07-01 12:47:33
392,2016-07-01 12:50:25
380,2016-07-01 12:50:27
403,2016-07-01 12:50:31
415,2016-07-01 12:50:31
226,2016-07-01 12:50:35
559,2016-07-01 12:53:09
482,2016-07-01 12:53:14
267,2016-07-01 12:53:19
531,2016-07-01 12:54:18
259,2016-07-01 12:56:45
454,2016-07-01 12:56:47
270,2016-07-01 12:56:50
559,2016-07-01 13:08:49
403,2016-07-01 13:08:51
263,2016-07-01 13:09:00
255,2016-07-01 13:09:13
806,2016-07-01 13:09:59
634,2016-07-01 13:29:49
526,2016-07-01 13:30:19
566,2016-07-01 13:32:22
515,2016-07-01 13:36:02
423,2016-07-01 13:36:04
235,2016-07-01 13:36:06
275,2016-07-01 13:36:07
354,2016-07-01 13:36:15
501,2016-07-01 13:54:03
392,2016-07-01 13:54:05
382,2016-07-01 13:54:14
232,2016-07-01 13:54:26
228,2016-07-01 13:54:29
216,2016-07-01 13:54:46
296,2016-07-01 13:54:55
395,2016-07-01 13:55:16
580,2016-07-01 14:11:10
515,2016-07-01 14:14:44
278,2016-07-01 14:14:55
16202,2016-07-01 14:15:02
263,2016-07-01 14:15:04
570,2016-07-01 14:15:05
327,2016-07-01 14:15:07
334,2016-07-01 14:15:16
574,2016-07-01 14:24:33
577,2016-07-01 14:24:33
430,2016-07-01 14:24:39
936,2016-07-01 14:27:41
1269,2016-07-01 14:27:51
1385,2016-07-01 14:28:01
1152,2016-07-01 14:28:07
1121,2016-07-01 14:28:13
914,2016-07-01 14:29:20
1266,2016-07-01 14:30:27
760,2016-07-01 14:42:59
1300,2016-07-01 14:42:59
1693,2016-07-01 14:46:16
1251,2016-07-01 14:47:21
321,2016-07-01 14:51:08
1529,2016-07-01 14:53:29
1460,2016-07-01 14:53:39
654,2016-07-01 14:54:12
1082,2016-07-01 14:54:15
229,2016-07-01 14:54:17
275,2016-07-01 14:54:20
361,2016-07-01 14:54:28
537,2016-07-01 14:55:18
429,2016-07-01 14:55:21
2064,2016-07-01 14:56:08
416,2016-07-01 14:56:09
1397,2016-07-01 14:56:29
291,2016-07-01 14:56:31
210,2016-07-01 14:56:43
430,2016-07-01 14:57:05
193,2016-07-01 14:57:08
343,2016-07-01 14:57:10
809,2016-07-01 14:57:27
